"reviewId","userName","userImage","content","score","thumbsUpCount","reviewCreatedVersion","at","replyContent","repliedAt","appVersion"
"130b89b8-2a69-4cc8-ad48-ea73d44f265f","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","bagus buanget cokk","5","0","6.1.0_38157513_38357358","2025-10-31 08:34:22","","","6.1.0_38157513_38357358"
"83672bfd-f4d3-44c9-a13a-09436478e108","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Kalau miliastra wonderland dipisahkan dari genshin ku kasih bintang 5","1","0","","2025-10-31 08:10:14","","",""
"e6f584a1-ba88-4609-8243-d62e7dce5982","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Gamenya bagus sekali, grafik memanjakan sekali bikin aku terharu, banyak quest dan bisa berpetualang dengan bebas! Naikin chance pity aku dong :v","5","0","6.1.0_38157513_38357358","2025-10-31 06:20:34","Terima kasih atas dukungan Anda terhadap Genshin Impact, Traveler! Kalau Anda mengalami kesulitan apa pun yang berhubungan dengan Genshin Impact, silakan hubungi kami melalui email atau Layanan Pelanggan untuk mendapatkan bantuan.","2021-10-10 13:51:14","6.1.0_38157513_38357358"
"079c5082-b38a-4c82-a78f-5e0ab7496444","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","panjang umur selalu genshin impact dan semoga tetap terus ber-improvisasi dalam mengembangkan event event in-gamenya supaya Lebih Bagus lagi 👍👍👍","5","4","6.1.0_38157513_38357358","2025-10-31 05:55:07","","","6.1.0_38157513_38357358"
"820caf85-f371-445f-80db-6661376e9ce4","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","semenjak update ministra fps jd drop ke 30, padahal kalau niat bikin game pisah aja jangan di satuin ke genshin, file bengkak jd makin susah main, apalagi yg device-nya udah gakuat main.","1","0","5.8.0_35245262_35356052","2025-10-31 05:15:55","","","5.8.0_35245262_35356052"
"da73d9a2-74ec-45f0-bf0a-14c2d443b6b6","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","saya akan ganti bintangnya kalau miliastra dipisah dari genshin.","1","0","6.1.0_38157513_38357358","2025-10-31 04:45:21","","","6.1.0_38157513_38357358"
"bf11a348-e081-4f0b-8e2b-218fa978fd03","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","pertama masalah login setelah updet 6.1 dan 3 hari baru bisa login dan sekarang bug di sound skill dan sound latarnya tiba-tiba hilang GK ada suara jadi terasa sunyi main gamenya. terus lagi miliastra wonderlad gamenya banyakan bug sana sini dan bikin pusing pas mainnya.","3","0","6.1.0_38157513_38357358","2025-10-31 03:05:08","","","6.1.0_38157513_38357358"
"63e10448-963d-4681-a668-a9c8965b6621","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","gi x McD gi x KFC, that is enough.","1","0","","2025-10-31 02:26:36","We sincerely apologize for your unsatisfactory experience, Traveler. If you have any feedback or suggestions, please send us an email or contact Customer Service via in-game feedback to help us improve the game.","2025-10-31 14:29:13",""
"bd609836-12e0-4d07-ad79-68ab050b5048","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Ilangin miliastra wonderland, gak penting bgt itu...","5","1","5.5.0_31400259_31451966","2025-10-31 02:13:51","","","5.5.0_31400259_31451966"
"dd192572-e3c0-49a6-8481-90336d549e84","Pengguna Google","https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g","Kalah Jauh Dengan Wuthering Waves Terimakasih.","1","0","4.3.0_19705728_19706476","2025-10-31 00:44:57","","","4.3.0_19705728_19706476"
